OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
1,Tyler,CA,25.00,Tile,249,3.50,4.15,871.50,1033.35,476.21,2381.06,2020-05-05
2,Chris,CA,25.00,Wood,249,5.15,4.75,1282.35,1182.75,616.28,3081.38,2020-05-05
3,chris,KK,0.00,Carpet,249,2.25,2.10,560.25,522.90,0.00,1083.15,2020-05-05
1,Chris,CA,25.00,Wood,249,5.15,4.75,1282.35,1182.75,616.28,3081.38,2020-05-10
1,Ada Lovelace,CA,25.00,Tile,249.00,3.50,4.15,871.50,1033.35,476.21,2381.06,2013-06-01
3,Albert Einstein,KY,6.00,Carpet,217.00,2.25,2.10,488.25,455.70,56.64,1000.59,2013-06-02
1,John,CA,25.00,Tile,249.00,3.50,4.15,871.50,1033.35,476.21,2381.06,2020-06-02
1,Eli Manning,CA,25.00,Tile,249,3.50,4.15,871.50,1033.35,476.21,2381.06,2020-06-10
2,Chris,CA,25.00,Tile,249,3.50,4.15,871.50,1033.35,476.21,2381.06,2020-06-10
3,John,KY,6.00,Wood,230,5.15,4.75,1184.50,1092.50,136.62,2413.62,2020-06-10
4,chris,CA,25.00,Tile,249,3.50,4.15,871.50,1033.35,476.21,2381.06,2020-06-10
5,John,CA,25.00,Tile,249,3.50,4.15,871.50,1033.35,476.21,2381.06,2020-06-10
6,chris,LL,0.00,Tile,249,3.50,4.15,871.50,1033.35,0.00,1904.85,2020-06-10
7,jojo,LL,0.00,Wood,249,5.15,4.75,1282.35,1182.75,0.00,2465.10,2020-06-10
8,Chris,KY,6.00,Wood,249,5.15,4.75,1282.35,1182.75,147.91,2613.01,2020-06-10
1,Jimmy,KY,6.00,Carpet,217,2.25,2.10,488.25,455.70,56.64,1000.59,2020-08-08
